episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
0,,301.4140625,99,17457.046875,46.09630358959217,100,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
0,,320.13671875,199,17461.92578125,46.08123855120406,200,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
0,,339.56640625,299,17411.24609375,46.23772678823151,300,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
1,,395.30859375,99,17298.23828125,46.58667119220903,400,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
1,,412.2578125,199,17313.4296875,46.53976331847696,500,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
1,,429.734375,299,17303.5546875,46.57025524565481,600,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
2,,413.78125,99,17361.19140625,46.39228515645024,700,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
2,,430.125,199,17346.39453125,46.4379748004968,800,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
2,,446.65625,299,17322.74609375,46.51099621154691,900,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
3,,424.74609375,99,17343.96484375,46.44547716549072,1000,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
3,,440.42578125,199,17316.828125,46.52926965682952,1100,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
3,,456.73828125,299,17340.09765625,46.45741822874469,1200,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
4,,421.125,99,17352.78515625,46.41824189192759,1300,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
4,,437.046875,199,17293.0703125,46.602628794921166,1400,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
4,,453.5,299,17281.3359375,46.638862081804966,1500,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
5,,448.54296875,99,17222.76953125,46.81970285086251,1600,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
5,,448.75,199,17224.9375,46.81300861843225,1700,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
5,,462.6171875,299,17212.765625,46.85059281348216,1800,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
6,,443.87890625,99,17342.26953125,46.450711934634384,1900,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
6,,443.94921875,199,17311.40625,46.54601126874521,2000,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
