beam,discovered_edges_after,empty_scan_ratio,method,mode,new_edges_this_slot,node,sensing_detection_rate,slot
90,0,1.0,ours_marl,tx,0,0,1.0,0
56,0,1.0,ours_marl,rx,0,1,1.0,0
45,0,1.0,ours_marl,rx,0,2,1.0,0
4,0,1.0,ours_marl,rx,0,3,1.0,0
58,0,1.0,ours_marl,tx,0,4,1.0,0
55,0,1.0,ours_marl,rx,0,5,1.0,0
40,0,1.0,ours_marl,tx,0,6,1.0,0
81,0,1.0,ours_marl,rx,0,7,1.0,0
1,0,1.0,ours_marl,tx,0,8,1.0,0
50,0,1.0,ours_marl,rx,0,9,1.0,0
66,0,0.9473684210526315,ours_marl,rx,0,0,0.75,1
60,0,0.9473684210526315,ours_marl,tx,0,1,0.75,1
96,0,0.9473684210526315,ours_marl,rx,0,2,0.75,1
8,0,0.9473684210526315,ours_marl,tx,0,3,0.75,1
0,0,0.9473684210526315,ours_marl,idle,0,4,0.75,1
75,0,0.9473684210526315,ours_marl,rx,0,5,0.75,1
69,0,0.9473684210526315,ours_marl,tx,0,6,0.75,1
17,0,0.9473684210526315,ours_marl,tx,0,7,0.75,1
102,0,0.9473684210526315,ours_marl,rx,0,8,0.75,1
100,0,0.9473684210526315,ours_marl,tx,0,9,0.75,1
53,0,0.9655172413793104,ours_marl,rx,0,0,0.7142857142857143,2
22,0,0.9655172413793104,ours_marl,tx,0,1,0.7142857142857143,2
47,0,0.9655172413793104,ours_marl,rx,0,2,0.7142857142857143,2
69,0,0.9655172413793104,ours_marl,tx,0,3,0.7142857142857143,2
48,0,0.9655172413793104,ours_marl,rx,0,4,0.7142857142857143,2
42,0,0.9655172413793104,ours_marl,tx,0,5,0.7142857142857143,2
21,0,0.9655172413793104,ours_marl,tx,0,6,0.7142857142857143,2
78,0,0.9655172413793104,ours_marl,tx,0,7,0.7142857142857143,2
35,0,0.9655172413793104,ours_marl,rx,0,8,0.7142857142857143,2
48,0,0.9655172413793104,ours_marl,rx,0,9,0.7142857142857143,2
11,0,0.9487179487179487,ours_marl,rx,0,0,0.75,3
28,0,0.9487179487179487,ours_marl,tx,0,1,0.75,3
46,0,0.9487179487179487,ours_marl,rx,0,2,0.75,3
95,0,0.9487179487179487,ours_marl,rx,0,3,0.75,3
96,0,0.9487179487179487,ours_marl,rx,0,4,0.75,3
44,0,0.9487179487179487,ours_marl,tx,0,5,0.75,3
79,0,0.9487179487179487,ours_marl,rx,0,6,0.75,3
87,0,0.9487179487179487,ours_marl,tx,0,7,0.75,3
56,0,0.9487179487179487,ours_marl,rx,0,8,0.75,3
30,0,0.9487179487179487,ours_marl,tx,0,9,0.75,3
65,0,0.9361702127659575,ours_marl,tx,0,0,0.7,4
9,0,0.9361702127659575,ours_marl,rx,0,1,0.7,4
0,0,0.9361702127659575,ours_marl,idle,0,2,0.7,4
56,0,0.9361702127659575,ours_marl,rx,0,3,0.7,4
19,0,0.9361702127659575,ours_marl,tx,0,4,0.7,4
0,0,0.9361702127659575,ours_marl,idle,0,5,0.7,4
29,0,0.9361702127659575,ours_marl,rx,0,6,0.7,4
57,0,0.9361702127659575,ours_marl,rx,0,7,0.7,4
14,0,0.9361702127659575,ours_marl,tx,0,8,0.7,4
74,0,0.9361702127659575,ours_marl,rx,0,9,0.7,4
102,0,0.9285714285714286,ours_marl,rx,0,0,0.6923076923076923,5
20,0,0.9285714285714286,ours_marl,tx,0,1,0.6923076923076923,5
28,0,0.9285714285714286,ours_marl,rx,0,2,0.6923076923076923,5
39,0,0.9285714285714286,ours_marl,tx,0,3,0.6923076923076923,5
75,0,0.9285714285714286,ours_marl,rx,0,4,0.6923076923076923,5
0,0,0.9285714285714286,ours_marl,idle,0,5,0.6923076923076923,5
42,0,0.9285714285714286,ours_marl,tx,0,6,0.6923076923076923,5
99,0,0.9285714285714286,ours_marl,tx,0,7,0.6923076923076923,5
102,0,0.9285714285714286,ours_marl,tx,0,8,0.6923076923076923,5
73,0,0.9285714285714286,ours_marl,rx,0,9,0.6923076923076923,5
22,0,0.9393939393939394,ours_marl,tx,0,0,0.7333333333333333,6
9,0,0.9393939393939394,ours_marl,rx,0,1,0.7333333333333333,6
46,0,0.9393939393939394,ours_marl,tx,0,2,0.7333333333333333,6
74,0,0.9393939393939394,ours_marl,rx,0,3,0.7333333333333333,6
85,0,0.9393939393939394,ours_marl,tx,0,4,0.7333333333333333,6
19,0,0.9393939393939394,ours_marl,rx,0,5,0.7333333333333333,6
2,0,0.9393939393939394,ours_marl,tx,0,6,0.7333333333333333,6
15,0,0.9393939393939394,ours_marl,rx,0,7,0.7333333333333333,6
58,0,0.9393939393939394,ours_marl,tx,0,8,0.7333333333333333,6
62,0,0.9393939393939394,ours_marl,rx,0,9,0.7333333333333333,6
19,0,0.9210526315789473,ours_marl,tx,0,0,0.7777777777777778,7
11,0,0.9210526315789473,ours_marl,tx,0,1,0.7777777777777778,7
19,0,0.9210526315789473,ours_marl,rx,0,2,0.7777777777777778,7
67,0,0.9210526315789473,ours_marl,tx,0,3,0.7777777777777778,7
38,0,0.9210526315789473,ours_marl,rx,0,4,0.7777777777777778,7
34,0,0.9210526315789473,ours_marl,rx,0,5,0.7777777777777778,7
61,0,0.9210526315789473,ours_marl,rx,0,6,0.7777777777777778,7
7,0,0.9210526315789473,ours_marl,tx,0,7,0.7777777777777778,7
104,0,0.9210526315789473,ours_marl,tx,0,8,0.7777777777777778,7
37,0,0.9210526315789473,ours_marl,rx,0,9,0.7777777777777778,7
59,0,0.9058823529411765,ours_marl,tx,0,0,0.7391304347826086,8
64,0,0.9058823529411765,ours_marl,rx,0,1,0.7391304347826086,8
53,0,0.9058823529411765,ours_marl,tx,0,2,0.7391304347826086,8
17,0,0.9058823529411765,ours_marl,tx,0,3,0.7391304347826086,8
0,0,0.9058823529411765,ours_marl,idle,0,4,0.7391304347826086,8
35,0,0.9058823529411765,ours_marl,tx,0,5,0.7391304347826086,8
67,0,0.9058823529411765,ours_marl,tx,0,6,0.7391304347826086,8
68,0,0.9058823529411765,ours_marl,rx,0,7,0.7391304347826086,8
33,0,0.9058823529411765,ours_marl,tx,0,8,0.7391304347826086,8
53,0,0.9058823529411765,ours_marl,rx,0,9,0.7391304347826086,8
61,0,0.9157894736842105,ours_marl,rx,0,0,0.7083333333333334,9
49,0,0.9157894736842105,ours_marl,tx,0,1,0.7083333333333334,9
58,0,0.9157894736842105,ours_marl,tx,0,2,0.7083333333333334,9
13,0,0.9157894736842105,ours_marl,tx,0,3,0.7083333333333334,9
2,0,0.9157894736842105,ours_marl,tx,0,4,0.7083333333333334,9
89,0,0.9157894736842105,ours_marl,rx,0,5,0.7083333333333334,9
64,0,0.9157894736842105,ours_marl,rx,0,6,0.7083333333333334,9
41,0,0.9157894736842105,ours_marl,rx,0,7,0.7083333333333334,9
76,0,0.9157894736842105,ours_marl,rx,0,8,0.7083333333333334,9
62,0,0.9157894736842105,ours_marl,tx,0,9,0.7083333333333334,9
0,0,0.9019607843137255,ours_marl,idle,0,0,0.7241379310344828,10
92,0,0.9019607843137255,ours_marl,tx,0,1,0.7241379310344828,10
0,0,0.9019607843137255,ours_marl,idle,0,2,0.7241379310344828,10
103,0,0.9019607843137255,ours_marl,rx,0,3,0.7241379310344828,10
0,0,0.9019607843137255,ours_marl,idle,0,4,0.7241379310344828,10
65,0,0.9019607843137255,ours_marl,tx,0,5,0.7241379310344828,10
0,0,0.9019607843137255,ours_marl,rx,0,6,0.7241379310344828,10
97,0,0.9019607843137255,ours_marl,tx,0,7,0.7241379310344828,10
37,0,0.9019607843137255,ours_marl,tx,0,8,0.7241379310344828,10
18,0,0.9019607843137255,ours_marl,tx,0,9,0.7241379310344828,10
14,0,0.8918918918918919,ours_marl,tx,0,0,0.7837837837837838,11
66,0,0.8918918918918919,ours_marl,tx,0,1,0.7837837837837838,11
15,0,0.8918918918918919,ours_marl,rx,0,2,0.7837837837837838,11
20,0,0.8918918918918919,ours_marl,tx,0,3,0.7837837837837838,11
26,0,0.8918918918918919,ours_marl,tx,0,4,0.7837837837837838,11
60,0,0.8918918918918919,ours_marl,tx,0,5,0.7837837837837838,11
23,0,0.8918918918918919,ours_marl,tx,0,6,0.7837837837837838,11
54,0,0.8918918918918919,ours_marl,rx,0,7,0.7837837837837838,11
0,0,0.8918918918918919,ours_marl,idle,0,8,0.7837837837837838,11
40,0,0.8918918918918919,ours_marl,tx,0,9,0.7837837837837838,11
29,0,0.9008264462809917,ours_marl,rx,0,0,0.8048780487804879,12
58,0,0.9008264462809917,ours_marl,tx,0,1,0.8048780487804879,12
47,0,0.9008264462809917,ours_marl,tx,0,2,0.8048780487804879,12
80,0,0.9008264462809917,ours_marl,rx,0,3,0.8048780487804879,12
8,0,0.9008264462809917,ours_marl,tx,0,4,0.8048780487804879,12
55,0,0.9008264462809917,ours_marl,tx,0,5,0.8048780487804879,12
10,0,0.9008264462809917,ours_marl,tx,0,6,0.8048780487804879,12
37,0,0.9008264462809917,ours_marl,rx,0,7,0.8048780487804879,12
5,0,0.9008264462809917,ours_marl,tx,0,8,0.8048780487804879,12
28,0,0.9008264462809917,ours_marl,tx,0,9,0.8048780487804879,12
36,0,0.8846153846153846,ours_marl,rx,0,0,0.8,13
87,0,0.8846153846153846,ours_marl,tx,0,1,0.8,13
28,0,0.8846153846153846,ours_marl,rx,0,2,0.8,13
87,0,0.8846153846153846,ours_marl,tx,0,3,0.8,13
41,0,0.8846153846153846,ours_marl,rx,0,4,0.8,13
78,0,0.8846153846153846,ours_marl,tx,0,5,0.8,13
98,0,0.8846153846153846,ours_marl,rx,0,6,0.8,13
0,0,0.8846153846153846,ours_marl,idle,0,7,0.8,13
12,0,0.8846153846153846,ours_marl,tx,0,8,0.8,13
10,0,0.8846153846153846,ours_marl,tx,0,9,0.8,13
86,0,0.8920863309352518,ours_marl,tx,0,0,0.8043478260869565,14
104,0,0.8920863309352518,ours_marl,rx,0,1,0.8043478260869565,14
0,0,0.8920863309352518,ours_marl,idle,0,2,0.8043478260869565,14
94,0,0.8920863309352518,ours_marl,tx,0,3,0.8043478260869565,14
48,0,0.8920863309352518,ours_marl,tx,0,4,0.8043478260869565,14
31,0,0.8920863309352518,ours_marl,rx,0,5,0.8043478260869565,14
78,0,0.8920863309352518,ours_marl,tx,0,6,0.8043478260869565,14
74,0,0.8920863309352518,ours_marl,rx,0,7,0.8043478260869565,14
30,0,0.8920863309352518,ours_marl,tx,0,8,0.8043478260869565,14
23,0,0.8920863309352518,ours_marl,tx,0,9,0.8043478260869565,14
68,0,0.891156462585034,ours_marl,tx,0,0,0.7843137254901961,15
40,0,0.891156462585034,ours_marl,tx,0,1,0.7843137254901961,15
66,0,0.891156462585034,ours_marl,rx,0,2,0.7843137254901961,15
37,0,0.891156462585034,ours_marl,tx,0,3,0.7843137254901961,15
0,0,0.891156462585034,ours_marl,idle,0,4,0.7843137254901961,15
3,0,0.891156462585034,ours_marl,tx,0,5,0.7843137254901961,15
23,0,0.891156462585034,ours_marl,rx,0,6,0.7843137254901961,15
0,0,0.891156462585034,ours_marl,idle,0,7,0.7843137254901961,15
68,0,0.891156462585034,ours_marl,rx,0,8,0.7843137254901961,15
52,0,0.891156462585034,ours_marl,tx,0,9,0.7843137254901961,15
9,0,0.89171974522293,ours_marl,tx,0,0,0.7962962962962963,16
0,0,0.89171974522293,ours_marl,rx,0,1,0.7962962962962963,16
82,0,0.89171974522293,ours_marl,rx,0,2,0.7962962962962963,16
77,0,0.89171974522293,ours_marl,rx,0,3,0.7962962962962963,16
11,0,0.89171974522293,ours_marl,tx,0,4,0.7962962962962963,16
33,0,0.89171974522293,ours_marl,rx,0,5,0.7962962962962963,16
60,0,0.89171974522293,ours_marl,tx,0,6,0.7962962962962963,16
43,0,0.89171974522293,ours_marl,tx,0,7,0.7962962962962963,16
45,0,0.89171974522293,ours_marl,tx,0,8,0.7962962962962963,16
35,0,0.89171974522293,ours_marl,rx,0,9,0.7962962962962963,16
63,0,0.8802395209580839,ours_marl,rx,0,0,0.7903225806451613,17
68,0,0.8802395209580839,ours_marl,tx,0,1,0.7903225806451613,17
101,0,0.8802395209580839,ours_marl,rx,0,2,0.7903225806451613,17
11,0,0.8802395209580839,ours_marl,tx,0,3,0.7903225806451613,17
97,0,0.8802395209580839,ours_marl,rx,0,4,0.7903225806451613,17
35,0,0.8802395209580839,ours_marl,tx,0,5,0.7903225806451613,17
102,0,0.8802395209580839,ours_marl,rx,0,6,0.7903225806451613,17
30,0,0.8802395209580839,ours_marl,tx,0,7,0.7903225806451613,17
80,0,0.8802395209580839,ours_marl,rx,0,8,0.7903225806451613,17
43,0,0.8802395209580839,ours_marl,tx,0,9,0.7903225806451613,17
52,0,0.8531073446327684,ours_marl,tx,0,0,0.8169014084507042,18
25,0,0.8531073446327684,ours_marl,rx,0,1,0.8169014084507042,18
36,0,0.8531073446327684,ours_marl,tx,0,2,0.8169014084507042,18
60,0,0.8531073446327684,ours_marl,rx,0,3,0.8169014084507042,18
56,0,0.8531073446327684,ours_marl,tx,0,4,0.8169014084507042,18
50,0,0.8531073446327684,ours_marl,rx,0,5,0.8169014084507042,18
25,0,0.8531073446327684,ours_marl,tx,0,6,0.8169014084507042,18
52,0,0.8531073446327684,ours_marl,rx,0,7,0.8169014084507042,18
43,0,0.8531073446327684,ours_marl,tx,0,8,0.8169014084507042,18
43,0,0.8531073446327684,ours_marl,rx,0,9,0.8169014084507042,18
40,0,0.8440860215053764,ours_marl,tx,0,0,0.8170731707317073,19
16,0,0.8440860215053764,ours_marl,rx,0,1,0.8170731707317073,19
0,0,0.8440860215053764,ours_marl,idle,0,2,0.8170731707317073,19
15,0,0.8440860215053764,ours_marl,tx,0,3,0.8170731707317073,19
41,0,0.8440860215053764,ours_marl,tx,0,4,0.8170731707317073,19
96,0,0.8440860215053764,ours_marl,tx,0,5,0.8170731707317073,19
63,0,0.8440860215053764,ours_marl,rx,0,6,0.8170731707317073,19
56,0,0.8440860215053764,ours_marl,tx,0,7,0.8170731707317073,19
85,0,0.8440860215053764,ours_marl,tx,0,8,0.8170731707317073,19
72,0,0.8440860215053764,ours_marl,tx,0,9,0.8170731707317073,19
39,0,0.845360824742268,ours_marl,rx,0,0,0.8214285714285714,20
